time,rcv,life_time,life_time_global,run_time_vec,run_time,cpu_usage_vec,cpu_usage,snd,queued,active,time_activated
1,2,70,71,"[17, 22, 10, 6, 13, 8, 23, 10, 4, 15, 17, 20, 8, 14, 24, 6, 6, 14, 3, 13]",10,"[2, 3, 3, 3, 4, 4, 1, 1, 1, 1, 3, 1, 1, 3, 4, 4, 1, 1, 1, 4]",3,-1,False,False,
1,7,62,63,"[11, 4, 18, 1, 12, 10, 18, 21, 18, 4, 22, 19, 21, 21, 18, 8, 14, 1, 3, 15]",21,"[4, 3, 3, 1, 1, 2, 2, 2, 1, 2, 3, 1, 3, 1, 3, 3, 2, 3, 4, 3]",2,-1,False,False,
1,17,78,79,"[11, 8, 11, 9, 22, 7, 8, 21, 16, 10, 13, 11, 24, 2, 11, 24, 14, 23, 6, 18]",23,"[3, 1, 3, 1, 2, 1, 1, 1, 2, 2, 2, 3, 1, 2, 3, 4, 3, 3, 3, 1]",3,-1,False,False,
2,1,65,67,"[12, 10, 7, 11, 4, 14, 6, 20, 9, 4, 5, 10, 18, 10, 6, 12, 17, 21, 2, 11]",10,"[1, 4, 3, 4, 4, 2, 2, 2, 4, 2, 4, 4, 1, 2, 4, 1, 3, 4, 1, 2]",4,-1,False,False,
2,3,98,100,"[12, 14, 9, 13, 15, 1, 2, 5, 11, 3, 2, 2, 6, 10, 21, 11, 2, 18, 4, 16]",13,"[1, 3, 4, 4, 4, 1, 4, 1, 4, 4, 3, 1, 2, 2, 2, 4, 2, 2, 1, 3]",4,-1,False,False,
2,4,76,78,"[17, 16, 9, 9, 16, 11, 7, 9, 19, 16, 10, 3, 14, 24, 8, 14, 12, 15, 16, 20]",16,"[1, 2, 1, 3, 4, 4, 2, 3, 2, 4, 3, 2, 4, 4, 2, 4, 4, 4, 2, 2]",4,-1,False,False,
2,6,62,64,"[12, 7, 22, 24, 6, 2, 22, 4, 20, 21, 6, 8, 3, 7, 1, 17, 2, 5, 22, 5]",22,"[3, 4, 1, 4, 1, 1, 2, 1, 4, 2, 2, 2, 2, 2, 3, 1, 3, 3, 4, 3]",2,-1,False,False,
2,7,69,71,"[11, 4, 7, 11, 12, 1, 14, 10, 4, 21, 8, 7, 11, 3, 22, 3, 8, 10, 23, 17]",10,"[4, 1, 1, 1, 1, 3, 1, 2, 1, 1, 1, 1, 4, 1, 3, 1, 1, 2, 4, 2]",2,-1,False,False,
2,10,86,88,"[4, 23, 14, 5, 24, 2, 22, 23, 17, 21, 5, 20, 10, 14, 17, 4, 20, 4, 11, 18]",5,"[2, 2, 1, 1, 2, 1, 1, 2, 3, 2, 1, 2, 1, 3, 3, 2, 1, 3, 3, 1]",1,-1,False,False,
2,11,75,77,"[2, 22, 18, 15, 9, 17, 13, 14, 14, 8, 21, 17, 1, 1, 7, 4, 23, 1, 23, 18]",17,"[1, 4, 3, 3, 2, 2, 2, 4, 1, 2, 3, 3, 1, 3, 1, 4, 2, 2, 4, 1]",3,-1,False,False,
3,2,51,54,"[23, 14, 16, 3, 1, 17, 7, 5, 4, 19, 5, 21, 16, 9, 1, 7, 20, 6, 23, 22]",16,"[1, 4, 4, 2, 1, 2, 1, 3, 3, 2, 3, 4, 3, 3, 4, 3, 1, 2, 1, 4]",4,-1,False,False,
