time,rcv,life_time,life_time_global,run_time_vec,run_time,cpu_usage_vec,cpu_usage,snd,queued,active,time_activated
1,2,89,90,"[13, 18, 19, 1, 20, 1, 5, 20, 23, 9]",19,"[4, 2, 4, 2, 4, 4, 4, 1, 3, 2]",4,-1,False,False,
1,9,61,62,"[8, 15, 24, 23, 5, 3, 9, 9, 6, 15]",15,"[1, 1, 1, 1, 2, 1, 1, 1, 4, 3]",3,-1,False,False,
2,6,53,55,"[15, 15, 23, 18, 12, 12, 23, 18, 6, 24]",23,"[2, 4, 3, 3, 1, 3, 1, 3, 4, 4]",1,-1,False,False,
3,2,60,63,"[1, 8, 17, 11, 14, 8, 14, 14, 6, 16]",17,"[2, 3, 3, 3, 3, 3, 1, 1, 4, 2]",3,-1,False,False,
3,4,96,99,"[13, 14, 14, 19, 18, 16, 8, 7, 1, 7]",18,"[4, 2, 3, 4, 3, 4, 4, 2, 4, 2]",3,-1,False,False,
3,5,98,101,"[15, 20, 16, 1, 22, 10, 2, 19, 9, 18]",10,"[2, 4, 4, 4, 3, 2, 3, 2, 1, 1]",2,-1,False,False,
3,8,54,57,"[18, 17, 2, 17, 4, 13, 9, 15, 19, 6]",19,"[4, 1, 3, 4, 1, 2, 1, 3, 3, 3]",3,-1,False,False,
3,9,55,58,"[7, 3, 16, 24, 22, 15, 22, 8, 12, 13]",13,"[3, 4, 2, 3, 3, 3, 3, 3, 1, 3]",3,-1,False,False,
5,0,79,84,"[6, 2, 24, 12, 13, 19, 1, 20, 18, 24]",6,"[3, 3, 1, 1, 3, 1, 3, 2, 1, 4]",3,-1,False,False,
5,2,54,59,"[13, 21, 1, 21, 15, 18, 18, 3, 16, 18]",1,"[4, 1, 3, 1, 2, 2, 2, 4, 1, 4]",3,-1,False,False,
6,3,61,67,"[22, 10, 12, 13, 8, 1, 2, 21, 22, 18]",13,"[4, 1, 2, 3, 1, 4, 2, 1, 4, 3]",3,-1,False,False,
6,6,86,92,"[3, 19, 9, 12, 23, 23, 23, 17, 14, 7]",23,"[2, 4, 1, 4, 1, 3, 4, 3, 3, 4]",4,-1,False,False,
6,7,68,74,"[17, 12, 24, 7, 4, 5, 7, 3, 21, 19]",3,"[2, 2, 1, 4, 1, 1, 2, 4, 1, 3]",4,-1,False,False,
7,8,73,80,"[10, 21, 18, 19, 20, 6, 11, 3, 21, 23]",21,"[3, 1, 1, 1, 4, 4, 3, 4, 1, 4]",1,-1,False,False,
7,9,89,96,"[12, 5, 11, 11, 4, 5, 3, 2, 6, 23]",23,"[4, 3, 3, 4, 4, 1, 3, 1, 2, 4]",4,-1,False,False,
8,3,70,78,"[18, 21, 7, 24, 18, 23, 19, 18, 7, 4]",24,"[2, 3, 1, 1, 3, 2, 4, 4, 4, 1]",1,-1,False,False,
8,9,85,93,"[19, 3, 18, 5, 8, 5, 7, 13, 6, 18]",18,"[3, 1, 3, 3, 2, 2, 2, 1, 2, 4]",4,-1,False,False,
9,0,72,81,"[24, 18, 6, 4, 6, 19, 21, 8, 6, 9]",24,"[4, 1, 4, 4, 1, 4, 2, 3, 3, 3]",4,-1,False,False,
9,4,85,94,"[2, 4, 11, 16, 21, 4, 19, 8, 20, 7]",21,"[4, 1, 1, 3, 1, 3, 4, 4, 3, 3]",1,-1,False,False,
9,5,66,75,"[16, 6, 7, 5, 2, 11, 15, 12, 21, 9]",11,"[1, 1, 2, 3, 4, 3, 4, 2, 1, 1]",3,-1,False,False,
9,8,76,85,"[20, 17, 11, 22, 7, 20, 22, 4, 12, 6]",12,"[3, 1, 2, 1, 3, 4, 1, 1, 4, 4]",4,-1,False,False,
10,2,67,77,"[1, 5, 12, 19, 11, 2, 8, 12, 24, 20]",12,"[4, 2, 3, 2, 1, 2, 4, 1, 1, 4]",3,-1,False,False,
10,7,72,82,"[14, 12, 15, 17, 22, 23, 12, 4, 3, 13]",4,"[4, 1, 3, 4, 2, 1, 3, 3, 3, 4]",3,-1,False,False,
10,8,68,78,"[7, 1, 11, 24, 17, 16, 24, 13, 8, 5]",8,"[3, 2, 1, 4, 3, 4, 1, 1, 3, 4]",3,-1,False,False,
11,0,81,92,"[17, 17, 22, 15, 21, 6, 9, 4, 15, 13]",17,"[3, 2, 1, 1, 2, 1, 2, 1, 4, 3]",3,-1,False,False,
11,4,62,73,"[22, 3, 10, 21, 21, 12, 2, 8, 18, 20]",21,"[4, 3, 3, 1, 1, 2, 3, 2, 3, 2]",1,-1,False,False,
11,6,69,80,"[11, 20, 3, 13, 17, 19, 5, 10, 14, 17]",5,"[4, 4, 3, 1, 4, 4, 2, 2, 2, 4]",2,-1,False,False,
12,9,74,86,"[9, 12, 15, 24, 14, 14, 2, 1, 16, 15]",15,"[2, 1, 1, 1, 3, 2, 2, 2, 2, 3]",3,-1,False,False,
13,2,66,79,"[6, 23, 15, 12, 17, 14, 5, 6, 19, 4]",15,"[1, 4, 3, 2, 3, 2, 4, 4, 4, 3]",3,-1,False,False,
13,4,69,82,"[7, 9, 15, 5, 11, 19, 8, 5, 3, 20]",11,"[2, 3, 1, 3, 1, 3, 2, 3, 2, 3]",1,-1,False,False,
13,6,85,98,"[10, 13, 19, 1, 13, 8, 17, 21, 7, 4]",17,"[4, 3, 2, 4, 1, 2, 3, 2, 4, 2]",3,-1,False,False,
13,7,93,106,"[21, 1, 2, 13, 10, 2, 13, 16, 24, 24]",16,"[1, 3, 4, 2, 4, 4, 1, 2, 4, 4]",2,-1,False,False,
14,0,64,78,"[21, 15, 5, 12, 7, 21, 7, 8, 21, 15]",21,"[4, 2, 4, 2, 1, 3, 4, 4, 1, 3]",4,-1,False,False,
14,5,60,74,"[12, 13, 14, 13, 8, 6, 17, 2, 15, 7]",6,"[4, 3, 3, 2, 3, 1, 1, 2, 3, 3]",1,-1,False,False,
14,7,72,86,"[18, 14, 12, 16, 9, 17, 22, 1, 10, 4]",1,"[4, 1, 4, 4, 1, 3, 1, 4, 3, 4]",4,-1,False,False,
14,8,67,81,"[13, 14, 24, 20, 5, 19, 2, 9, 5, 9]",5,"[2, 1, 4, 4, 3, 1, 4, 1, 4, 4]",4,-1,False,False,
15,3,97,112,"[9, 6, 19, 13, 12, 6, 19, 16, 12, 23]",13,"[2, 4, 2, 3, 1, 4, 1, 2, 1, 1]",3,-1,False,False,
15,9,98,113,"[9, 4, 18, 16, 12, 6, 18, 7, 19, 21]",21,"[1, 2, 1, 3, 2, 1, 2, 1, 4, 1]",1,-1,False,False,
16,8,97,113,"[2, 9, 24, 3, 16, 23, 15, 9, 16, 14]",16,"[3, 3, 1, 2, 3, 2, 2, 3, 1, 4]",1,-1,False,False,
17,2,50,67,"[21, 19, 17, 20, 9, 12, 12, 21, 16, 18]",17,"[1, 2, 4, 4, 3, 1, 4, 4, 1, 2]",4,-1,False,False,
